Natalus_tumidirostris	5.4	32.3	28.0	35.5	7.5
Macroderma_gigas	107.2	37.0	30.0	35.0	5.0
Rhinonicteris_aurantius	8.3	36.1	32.5	37.5	5.0
Peropteryx_macrotis	5.1	34.4	30.5	37.0	6.5
Saccopteryx_bilineata	8.2	35.5	30.0	  NA  	  NA  
Chaetodipus_hispidus	40.1	36.8	30.5	33.5	3.0
Calomys_musculinus	16.9	36.3	27.0	  NA  	  NA  
Microtus_agrestis	26.3	37.6	25.0	  NA  	  NA  
Microtus_montanus	27.2	35.3	28.8	  NA  	  NA  
Microtus_ochrogaster	47.4	37.9	25.0	30.0	5.0
Microtus_guentheri	51.3	38.3	30.0	34.0	4.0
Peromyscus_californicus	22	36.4	32.5	  NA  	  NA  
Peromyscus_crinitus	16	35.7	29.0	  NA  	  NA  
Peromyscus_maniculatus	18.2	36.6	25.5	  NA  	  NA  
Peromyscus_truei	33	36.4	27.0	  NA  	  NA  
Peromyscus_eremicus	22	36.6	30.0	  NA  	  NA  
Neotoma_lepida	110	36.8	26.0	  NA  	  NA  
Neotoma_fuscipes	187	36.6	23.0	  NA  	  NA  
Clethrionomys_rufocanus	23.1	36.7	22.5	27.5	5.0
Clethrionomys_rutilus	21.5	36.7	22.0	  NA  	  NA  
Reithrodontomys_megalotis	10.6	36.8	31.0	  NA  	  NA  
Baiomys_taylori	7.3	36.0	30.0	  NA  	  NA  
Cricetulus_triton	149	36.7	29.0	34.0	5.0
Cricetulus_barabensis	31.4	37.9	27.0	30.0	3.0
Mus_macedonicus	14.5	37.3	28.0	33.0	5.0
Otomys_sloggetti	113.3	36.7	25.3	  NA  	  NA  
Otomys_irroratus	111.6	37.6	25.0	  NA  	  NA  
Otomys_unisulcatus	102.5	36.7	25.0	  NA  	  NA  
Rattus_norvegicus	275	37.0	24.0	  NA  	  NA  
Meriones_unguiculatus	62.5	38.3	25.0	  NA  	  NA  
Gerbillurus_setzeri	32.9	37.6	28.4	  NA  	  NA  
Gerbillurus_vallinus	34.7	37.4	33.1	  NA  	  NA  
Apodemus_speciosus	28.5	36.9	25.0	30.0	5.0
Apodemus_agrarius	24.4	37.5	25.0	27.5	2.5
Apodemus_mystacinus	37.1	38.6	28.0	32.0	4.0
Apodemus_hermonensis	20.5	38.9	28.0	  NA  	  NA  
Tamiasciurus_hudsonicus	229	38.7	20.0	  NA  	  NA  
Spermophilus_variegatus	656	36.7	20.0	  NA  	  NA  
Spermophilus_parryii	750	37.0	18.0	36.0	18.0
Spermophilus_lateralis	257	36.3	23.0	30.0	7.0
Spermophilus_beecheyi	600	37.6	25.0	30.0	5.0
Tamias_striatus	92	38.2	28.5	32.0	3.5
Marmota_marmota	3349	36.7	20.0	  NA  	  NA  
Marmota_monax	6000	37.0	20.0	  NA  	  NA  
Mormota_flaviventris	5000	36.7	10.5	  NA  	  NA  
Octomys_mimax	118.6	36.7	22.2	  NA  	  NA  
Tympanoctomys_barrerae	71.4	35.7	24.8	  NA  	  NA  
Octodon_degus	180	37.6	24.0	  NA  	  NA  
Lagidium_viscacia	2055	36.7	18.4	  NA  	  NA  
Chinchilla_chinchilla	454	37.6	22.0	  NA  	  NA  
Steatomys_pratensis	37.5	32.9	28.0	32.0	4.0
Saccostomus_campestris	78.1	35.3	26.0	34.0	8.0
Geomys_pinetis	203	36.3	25.0	  NA  	  NA  
Nannospalax_leucodon	208	36.3	25.0	  NA  	  NA  
Tachyoryctes_splendens	234	35.9	27.0	  NA  	  NA  
Erethizon_dorsatum	5530	37.5	7.0	  NA  	  NA  
Heliophobius_argenteocinereus	89	34.0	28.0	  NA  	  NA  
Pedetes_capensis	3450	35.9	15.0	25.0	10.0
Zapus_hudsonius	19	37.3	32.0	  NA  	  NA  
Aplodontia_rufa	700	38.0	19.0	  NA  	  NA  
Cavia_porcellus	295	39.0	21.0	  NA  	  NA  
Macroscelides_proboscideus	39	36.2	35.0	  NA  	  NA  
Elephantulus_edwardii	50	37.6	32.5	36.0	3.5
Lepus_americanus	1581	39.8	10.0	  NA  	  NA  
Lepus_alleni	3000	37.9	20.0	  NA  	  NA  
Lepus_californicus	2300	39.2	14.0	  NA  	  NA  
Lepus_townsendii	2430	38.2	11.0	  NA  	  NA  
Brachylagus_idahoensis	432	38.2	17.5	25.5	8.0
Heterohyrax_brucei	2000	36.7	24.0	  NA  	  NA  
Procavia_capensis	2630	37.0	15.0	  NA  	  NA  
Procavia_johnstoni	2750	39.0	10.0	  NA  	  NA  
Erinaceus_europaeus	749	34.0	27.5	  NA  	  NA  
Hemiechinus_auritus	397	33.8	30.0	  NA  	  NA  
Hemiechinus_aethiopicus	453	34.2	30.0	  NA  	  NA  
Hylomys_suillus	67	37.2	31.0	  NA  	  NA  
Sorex_minutus	5.1	38.5	25.0	28.0	3.0
Sorex_vagrans	5.2	38.0	32.0	  NA  	  NA  
Sorex_cinereus	3.5	38.4	25.0	30.0	5.0
Sorex_coronatus	9.4	37.6	27.0	  NA  	  NA  
Sorex_araneus	7.5	38.0	35.0	  NA  	  NA  
Notiosorex_crawfordi	4	37.6	32.0	36.0	4.0
Neomys_anomalus	13.4	38.0	25.0	30.0	5.0
Neomys_fodiens	14.2	37.3	25.0	30.0	5.0
Blarina_brevicauda	20.5	38.3	27.0	31.0	4.0
Suncus_murinus	52	38.7	27.0	  NA  	  NA  
Neurotrichus_gibbsii	11.8	38.4	25.0	32.0	7.0
Condylura_cristata	55	37.7	24.5	33.0	8.5
Equus_caballus	500000	38.0	5	25	20
Sus_scrofa	48000	38.0	4.0	22	18
Bison_bison	800000	38.0	-40.8	  NA  	  NA  
Ovis_orientalis_aries	50000	38.0	9.0	20	11
Ovis_dalli	55000	38.0	-20.0	  NA  	  NA  
Capra_hircus	21000	38.0	9.0	30	21
Rangifer_tarandus	64500	38.0	5.0	  NA  	  NA  
Cervus_elaphus	500000	38.0	-30.8	  NA  	  NA  
Odocoileus_virginianus	65000	38.0	-19.9	  NA  	  NA  
Lama_guanicoe	75000	38.0	-15.5	  NA  	  NA  
Alopex_lagopus	3970	37.5	5.0	  NA  	  NA  
Vulpes_vulpes	4440	38.7	8.0	  NA  	  NA  
Canis_lupus	45000	37.5	-20.0	  NA  	  NA  
Canis_mesomelas	7500	38.0	14.9	  NA  	  NA  
Lycaon_pictus	30000	37.5	9.2	  NA  	  NA  
Procyon_lotor	4400	38.0	20.0	  NA  	  NA  
Procyon_cancrivorus	1160	37.6	26.0	  NA  	  NA  
Nasua_nasua	3850	36.4	25.0	33.0	8.0
Nasua_narica	5554	38.6	25.0	35.0	8.0
Potos_flavus	2600	36.1	23.0	33.0	10.0
Mustela_sibirica	540	37.5	17.5	  NA  	  NA  
Proteles_cristatus	8100	36.4	23.2	  NA  	  NA  
Ursus_americanus	165000	37.5	-30.0	  NA  	  NA  
Taxidea_taxus	9000	38.0	10.0	  NA  	  NA  
Callithrix_pygmaea	138	35.4	27.5	35.0	7.5
Aotus_trivirgatus	800	38.0	28.0	30.0	2.0
Microcebus_murinus	105	36.2	25.0	28.0	3.0
Tarsius_syrichta	125	33.8	32.0	35.0	3.0
Cercopithecus_mitis	5000	37.5	20.0	25.0	5.0
