   Tachyglossus aculeatus	3000	30.7	20.0	30.0	10.0
   Ornithorhynchus anatinus	1601	34.0	24.0		
   Thylamys elegans	40.2	34.8	27.5	35.0	7.5
   Caluromys philander	170	34.8	26.0		
   Caluromys derbianus	331	35.0	27.0	35.0	8.0
   Philander opossum	751	35.8	29.0		
   Metachirus nudicaudatus	336	35.0	29.0	36.0	7.0
   Didelphis marsupialis	1300	35.0	26.0		
   Didelphis virginiana	1500	35.0	22.0	36.0	14.0
   Lutreolina crassicaudata	812	35.8	27.0	35.0	8.0
   Chironectes minimus	946	35.0	24.0		
   Marmosa robinsoni	122	34.0	26.0	36.0	10.0
   Marmosa microtarsus	13	35.5	27.0		
   Monodelphis brevicaudata	40	33.7	29.0	36.0	7.0
   Sminthopsis macroura	24.8	34.3	31.3	34.0	2.7
   Sminthopsis crassicaudata	17	35.2	28.6		
   Dasyuroides byrnei	120	35.2	27.9		
   Planigale gilesi	8.3	35.1	29.3		
   Planigale tenuirostris	7	34.5	33.0		
   Ningaui yvonnae	11.6	34.4	32.0		
   Myrmecobius fasciatus	552	32.5	28.0		
   Macrotis lagotis	1520	35.0	27.0	35.0	8.0
   Isoodon macrourus	1551	35.9	30.0		
   Perameles nasuta	645	36.1	30.0		
   Echymipera rufescens	946	34.6	30.0		
   Echymipera kalabu	695	35.0	30.0		
   Cercartetus nanus	36	34.3	28.7	32.9	4.2
   Cercartetus concinnus	18.6	34.4	28.0	30.0	2.0
   Cercartetus lepidus	12.6	33.7	28.0	30.0	2.0
   Burramys parvus	44.3	36.1	27.7	30.0	2.3
   Acrobates pygmaeus	14	34.7	34.0	35.1	1.1
   Tarsipes rostratus	10	36.6	28.0	34.0	6.0
   Petaurus breviceps	130	35.9	27.0	31.0	4.0
   Pseudocheirus peregrinus	968	37.4	25.0	32.5	7.5
   Pseudocheirus occidentalis	861	36.5	25.0	32.5	7.5
   Petauroides volans	1141	35.4	18.0	25.0	7.0
   Spilocuscus maculatus	4250	34.7	20.8	35.4	14.6
   Aepyprymnus rufescens	2820	36.5	25.0	33.0	8.0
   Bettongia gaimardi	1700	35.6	10.0	20.0	10.0
   Setonix brachyurus	2670	36.3	20.0	32.5	12.5
   Lagorchestes conspicillatus	2660	36.0	25.0		
   Macropus giganteus	26400	36.3	15.0		
   Macropus rufus	23500	36.3	15.0		
   Phascolarctos cinereus	7600	35.8	15.0		
   Dromiciops gliroides	40.2	35.5	29.0		
   Macroglossus minimus	16.3	36.2	30.9	33.0	2.1
   Syconycteris australis	17.8	35.9	29.5	33.0	3.5
   Melonycteris melanops	53.3	34.9	28.0		
